"filename", "language", "YAML", "Markdown", "C++", "Dart", "CMake", "Swift", "JSON", "XML", "Kotlin", "Java Properties", "HTML", "comment", "blank", "total"
"d:\Dev\hilmi\hilmi\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Dev\hilmi\hilmi\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Dev\hilmi\hilmi\android\app\build.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 7, 13, 74
"d:\Dev\hilmi\hilmi\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 54
"d:\Dev\hilmi\hilmi\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\Dev\hilmi\hilmi\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 1, 46
"d:\Dev\hilmi\hilmi\android\app\src\main\cpp\CMakeLists.txt", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Dev\hilmi\hilmi\android\app\src\main\cpp\native-lib.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Dev\hilmi\hilmi\android\app\src\main\kotlin\com\example\hear_me\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"d:\Dev\hilmi\hilmi\android\app\src\main\kotlin\com\example\hilmi\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 29, 24, 158
"d:\Dev\hilmi\hilmi\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Dev\hilmi\hilmi\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Dev\hilmi\hilmi\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Dev\hilmi\hilmi\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Dev\hilmi\hilmi\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\Dev\hilmi\hilmi\android\build.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Dev\hilmi\hilmi\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Dev\hilmi\hilmi\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Dev\hilmi\hilmi\android\settings.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"d:\Dev\hilmi\hilmi\assets\google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\assets\onboarding1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\assets\onboarding2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\assets\onboarding3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Dev\hilmi\hilmi\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Dev\hilmi\hilmi\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\Dev\hilmi\hilmi\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Dev\hilmi\hilmi\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"d:\Dev\hilmi\hilmi\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\Dev\hilmi\hilmi\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Dev\hilmi\hilmi\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\Dev\hilmi\hilmi\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\Dev\hilmi\hilmi\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Dev\hilmi\hilmi\lib\constant.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Dev\hilmi\hilmi\lib\current_session_model.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Dev\hilmi\hilmi\lib\firebase_options.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 12, 7, 89
"d:\Dev\hilmi\hilmi\lib\gemini_test.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87
"d:\Dev\hilmi\hilmi\lib\hand_landmarker_service.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 8, 61
"d:\Dev\hilmi\hilmi\lib\login.dart", "Dart", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 1, 20, 172
"d:\Dev\hilmi\hilmi\lib\main.dart", "Dart", 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 0, 0, 25, 408
"d:\Dev\hilmi\hilmi\lib\new_onboarding_page.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Dev\hilmi\hilmi\lib\onboarding_page.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 7, 150
"d:\Dev\hilmi\hilmi\lib\onboarding_provider.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Dev\hilmi\hilmi\lib\realtime_bisindo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
